STT,CÂU HỎI,CÂU TRẢ LỜI
175,"chào các bạn, mình là sinh viên của 1 trường cao đẳng học ngành không liên quan gì đến sư phạm nhưng mình có ý muốn sau ra trường mình sẽ học thêm bằng sư phạm tiếng Anh thì liệu có được không ạ ? và làm như thế nào ạ ?",Chỉ có cách thi lại THPTQG thôi á bạn
176,"Em muốn vào ngành SP Anh, em có bằng IELTS 5.5 mà không tính xét học bạ, chỉ thi THPTQG thì có đc ưu tiên k ạ( Điểm TBM em tầm 8.5 ạ )",Trường mình không xét IELTS nha em ơi
177,"Dạ anh chị cho em hỏi, thi ĐGNLCB + xét điểm học bạ có tỉ lệ vào trường mình cao hơn so với xét học bạ không ạ?",Chị nghĩ là cao hơn vì xét học bạ điểm lúc nào cũng trên trời hết á =))
178,dạ cho em hỏi nếu mình thi đgnl chuyên biệt mà lỡ hong đậu thì còn cách nào khác ko ạ em cảm ơn,Dùng điểm thi tốt nghiệp THPTQG nha
179,"anh chị ơi cho em hỏi , em học cao đẳng sư phạm gdcd thì phải liên thông lên ngành gdcd hay đc liên thông ngành khác ạ ? ",Phải lthong ngành đó.k thì e học vb2 của ngành khác
180,Anh chị cho em hỏi xin giấy chứng nhận sinh viên thì cần phải làm những gì ạ,"Em lên Phòng CTCT và Học sinh, sinh viên Trường Đại học Sư phạm TP.HCM (A.110) để quét mã QR làm giấy chứng nhận sinh viên nha, sau 2 ngày (trừ thứ 7 và Chủ Nhật) là em có thể quay lại phòng lấy rồi nha."
,Em xin cảm ơn,
181,"Cho em hỏi muốn vào ngành Sư phạm Tiểu học của dhsp tphcm có cần thi đánh giá nl chuyên biệt môn k ạ, hay chỉ cần thi dgnl của đh quôc gia với thpt thôi ạ?","Thi đgnlcb của trường là kh bắt buộc em nha, em có thể thi và lấy kết quả đó xét kết hợp học bạ để tăng khả năng đậu em nhé"
,,Còn đgnl của ĐHQG không xét vào trường mình được nha
182,Ac khóa trước cho em hỏi với. E muốn đky SP Toán thì kì thi đgnl chuyên biệt chỉ cần đky thi Toán chứ còn cần đky theo tổ hợp 3 môn k ạ,Thi toán thôi nha.
183,Dạ mình xét đơn phươnng điểm dgnl thoi có cần thêm tiêu chí gì k ạ ?,Xét đgnl kết hợp học bạ chứ hongg có đơn phương nhaa em 
,, điều kiện cần của phương thức này là lớp 12 đạt hsg áa
184,"Mấy anh chị cho em xin một vài nguồn tài liệu, dạng đề để ôn thi đgnlcb toán được không ạ. Em cảm ơn.",bạn kham khảo ở đây nha https://dgnl.hcmue.edu.vn/vi/de-thi/deminhhoa.html
185,Cho em hỏi dgnl cb Ngữ văn là mình thi 1m môn văn thôi hay có sử nữa ạ.,Nếu em dự kiến xét vào ngành Sư phạm Ngữ văn thì em chỉ cần thi môn Văn thôi nhé. Hai môn còn lại trong tổ hợp sẽ xét điểm trung bình 06 học kỳ tại THPT nhe
186,nếu em thi đgnl môn Hoá thì sẽ xét 2 môn còn lại trog tổ hợp A00 hay là sao vậy chị,"đúng rồi bạn, hoặc 2 môn trong tổ hợp B nữa"
187,ngành spth của trường có lấy điểm đgnl của bộ kh ạ,chỉ lấy theo phương thức dgnlcb của trường thôi nha
188,Khi đi thi đánh giá năng lực chuyên biệt của trường thì cần mang những gì ạ,"đi thi thì cứ đem mấy cái cần đem như giấy dự thi, căn cước, máy tính"
,,"vì đồ cá nhân phải bỏ ngoài sảnh hết nên đem ít thôi, bút viết, đồng hồ là bỏ ngoài hết đó, nói chung hội đồng yêu cầu gì thì đem đó nha chứ mất công đem nặng người"
189,mọi người có thể nói rõ hơn cho em  phương thức về thi đgnl ko ạ> rốt cuộc thì cái đấy thi kiểu sao ạ. ,https://dgnl.hcmue.edu.vn/.../thong-tin-ky-thi-danh-gia...
,,A/c tham khảo thông tin ở đây ạ
190,"mấy đứa bạn em bảo là có thi đgnl nx ạ ,đgnl ở đây ( 7 hay 8 môn j đó ạ) là kỳ thi được tổ chức ở rất nhiều trường .Vậy em không biết là mình dùng kì thi đgnl này để xét đh đc ko ạ",đối với HCMUE thì chỉ xét DGNL chuyên biệt do trường tổ chức th ạ. Kì thi DGNL (thi 7-8 môn như a/c nói) do DHQG tổ chức thì khác hoàn toàn với kì thi DGNL chuyên biệt của trường DHSPHCM.
191,"Em chào anh chị ạ. Cho em hỏi ngành ngôn ngữ TQ, Nhật, Hàn thi đgnl chuyên biệt thì mình thi môn nào trong môn toán, văn, Anh vậy ạ?",Môn anh nha
192,"mấy anh chị cho em hỏi trường mình có xét tuyển chưa ạ, và có được xét tuyển onl k ạ",Chưa có đề án tuyển sinh nữa ạ. Như năm ngoái thì xét onl ạ
193,cho em xin link các phương thức xét tuyển của trường mình được không ạ?em tìm mãi không thấy ,"Bạn coi thử các phương thức xét tuyển năm ngoái nha, tại năm nay cũng chưa có đề án tuyển sinh á"
,,
194,Dạ ac ơi cho e hỏi thi ĐGNLCB có bị giới hạn số lần thi không vậy ạ?,"Hình như mỗi môn được thi 1 lần/ đợt, có 3 đợt bn được đk 3 lần cho 1 mô"
195,hong biết trường mình xét học bạ ch ạ,thường thì trường mình xét 6 kì nên khi nào có điểm kì 2 mới mở cổng xét học bạ nha em
196,"Môn chuyên ngành của em kì này bị điểm thấp nhưng tổng thể vẫn được khá thì có cần đi học cải thiện điểm k ạ , nó có ảnh hưởng j đến sau này k ah","học cải thiện không bị hạ một bậc khi tốt nghiệp, điểm được lấy điểm cao nhất trong các lần (từ khóa 47 trở về trước), nhưng từ khóa 48 trở về sau điểm sẽ tính vào lần học cuối cùng"
197,"Chào mọi người, cho mình hỏi điều kiện ngoại ngữ ra trường của mình ntn ( cả ielts và cả toeic ạ) em học khoa cntt","https://unizone.edu.vn/chuan-dau-ra-ngoai-ngu-dai-hoc-su.../ đây bạn ơi, chuẩn đầu ra với những nhóm ngành không thuộc khối ngôn ngữ là B1 còn thêm thông tin thì mình chịu."
198,Cho e hỏi ngành giáo dục tiểu học có đc nhận trợ cấp ko ạ,"Có, nếu bạn đăng ký nghị định 116"
199,"Cho em hỏi sinh viên sư phạm thì có được nhuộm tóc, sơn móng tay với cả ăn mặc gợi cảm không ạ ",thoải mái b ơi
,,
200,Cho em hỏi sư phạm mầm non cần ôn những gì ạ,mầm non thi toán hoặc văn + năng khiếu ấy
201,anh chị ơi cho e hỏi thi ngành mầm non có khó không vs nếu thi tốt nghiệp thì mỗi môn bn điểm thì đậu ạ,mầm non thi toán hoặc văn + năng khiếu ấy
202,Em xin phép được hỏi là khi mình rớt môn thì mình sẽ đăng ký học môn đó lại như thế nào vậy ạ? Em cảm ơn ạ.,Dki qua coi
203,Mọi người ơi cho em hỏi là nếu em không đủ điểm đậu SP Sinh ( em muốn dạy cấp 3)  thì e học  SP khoa học tự nhiên rồi em học tiếp lên để dạy Cấp 3 có được ko ạ.,Em nên học ngành sinh học hoặc công nghệ sinh học rồi học thêm nghiệp vụ sư phạm nữa là đc em nha
204,"Xin chào các a/c, em đang coa nguyện vọng xét tuyển học bạ kết hợp thi đgnlcb. Nma cách tính điểm nó khó hỉu quá. Mn có thể giải thích giúp em xách tính điểm với được ko ạ. Em cảm ơn","Chào em. Ví dụ em muốn xét vào sp toán thì môn chính sẽ là môn toán, có hai tổ hợp xét tuyển là A01 và A00"
,,Nếu em xét A01 thì điểm xét tuyển sẽ là
,,"(Điểm thi môn toán×2+học bạ Lí,Anh)×0.75+ điểm ưu tiên. Nếu em xét A00 thì cũng tương tự chỉ thay môn Anh = Hóa"
205,dạ chào các anh chị trong group ạ em là hs 2k6 năm nay chuẩn bị thi đại học ạ năm nay em tính thi vào sư phạm tiểu học í nhưng mà e xem điểm sàn năm ngoái là 24.9 nó hơi cao so với em í ạ .Anh chị cho em em điểm như thế thì năm nay ko biết nó có giảm xg ko ạ,
206,Sư phạm được miễn hp,A chưa thấy ai làm đơn mà ko đc miễn hp cả
,E tìm hiểu thì không phải cứ ai làm đơn là cũng sẽ được miễn.,
,A c nói kĩ về nghị định này giúp e với ạ ,
207,nếu điểm của em đang khá thì có đki học được không,Điểm Khá đăng ký được
208,"thời gian đăng kí là khi nào ạ, và cách đăng kí là như nào ạ , giống đkhp hay phải làm đơn . ", Đăng ký cùng lúc đăng ký học phần
209,học phí sẽ được miễn hay phải đóng lại ( không đki nghị định ạ) ,Học cải thiện vẫn phải đóng tiền như bình thường
210,Dạ em đang tìm khoá tiếng Nhật online để đạt bậc 3/6 ạ. Dạ em chưa biết gì về tiếng Nhật. Anh/chị/bạn có thể cho em xin review vài trung tâm hong ạ?,"Trc c học ở Thầy Hùng phía cv Lê Thị Riêng đó, đến khi có n2 đi Nhật luôn, thầy dạy ok đó, học phí rẻ nhé."
211,Anh chị ơi cho em hỏi là em thi năng khiếu đhsp vậy điểm năng khiếu em có xét được thêm vào trường khác kh ạ hay chỉ tính riêng là trường mình thui .Em cảm ơn nhiều ạ,
212,Anh chị oii cho em hỏi là mình lên thư viện có cần mang theo thẻ sv hay gì ko ạ?,"Cần để quét á, ko có lên ko đc đâu"
213,"Mình xét kết quả thi tốt nghiệp THPT xong thì mình đăng kí xét tuyển vào trường thôi đúng không ạ , có cần thi đgnl không ạ ","Nếu em xét kết quả thi thptqg thì sẽ hong cần phải thi đgnlcb của trường, vì 2 phương thức này là độc lập nhau nha"
214,"Nếu xét học bạ thì mình đăng kí xét tuyển sau đó chờ trường thông báo kết quả , hay mình phải thi thêm đgnl nữa thì mới được xét tuyển ạ ","Nếu em chỉ xét học bạ thì sau khi trường mở link cho em đăng kí em chỉ cần đăng kí thui, sau đó đợi trường thbao kết quả chứ hong cần thi nha. Giống như ý 1, pthuc xét học bạ và xét kết quả đgnlcb kèm học bạ là độc lập nhau"
215,"Em có tra mạng thì thấy, thi đgnl của trường mình được tổ chức ở 3 địa điểm, vậy là mình phải vào 1 trong 3 địa điểm đó thi hay sao ạ "," Không em nha, năm nay trường sẽ có 3 đợt thi, đợt 1 và 3 ở TP HCM và đợt 2 ở tỉnh Long An, em muốn đăng ký ở đâu/đợt nào thì mình đăng ký em nhé"
,,Thông tin về kỳ thi đgblcb em vào link : https://dgnl.hcmue.edu.vn/vi/ để tìm hiểu thêm nha
216,Nếu học lực năm 12 của em loại giỏi nhưng mà điểm học bạ của em vẫn chưa đủ ( cụ thể 22 điểm) có khả năng đậu không ạ,Học bạ em loại giỏi ( năm nay chưa có đề án tuyển sinh nên mình nói theo 2023 nhé ) thì học bạ của em sẽ đủ điều kiện xét còn về việc đủ hay không thì không ai có thể đoán trước được em nhaa
217,Cho e hỏi là xét học bạ có cần điều kiện gì ko ạ?,"Em chỉ cần thoả mãn 1 trong 2 điều kiện này là được em nhé : Có học lực lớp 12 xếp loại giỏi, có điểm xét tốt nghiệp THPT từ 8,0 trở lên"
218,Mn ơi cho e hỏi nếu rớt môn thì phải thi lại hay học lại ạ,học lại nha bạn dk chờ kì sau kì bn vừa học môn đó
219,"Chào m.n ạ, có ai biết SĐT hay cách liên lạc phòng văn thư ở trường mình, thì cho mình xin với ạ. Tại mình có 1 số vấn đề cần liên lạc ạ.",Bạn có thể check trong sổ tay sinh viên. Mình thấy có nhiều sdt kết nối với các văn phòng của trường á
220,"Cho em hỏi thi sư phạm tiếng hoa có bắt buộc thi dgnl k, nếu có thi thì lựa chọn thi môn nào ạ. Em cảm ơn.",
221,Cho e hỏi theo ngành sư phạm tiểu học thì có cần đạt giải hsg môn j của tỉnh k ạ,"Khi nào em là hsinh chuyên thì giải hsg giỏi tỉnh có thể dùng để xét học bạ, còn em thi thpt hay đgnlcb thì không cần đâu nè"
222,Dạ anh chị cho em hỏi là xét học bạ giáo viên mầm non thì xét như nào ạ? Do có thi 2 môn năng khiếu và em định xét môn toán theo nhưng không biết cách tính điểm cũng như hình thức sẽ như thế nào. Mong anh chị giải đáp ạ em cảm ơn ạ,E Văn với 2 môn năng khiếu ạ
223,"Anh chị nào thi đgnlcb của môn Toán, Anh, Văn cho em chút thông tin ạ ",
," em hơi nghiêng về spham Anh chút nhưng nghe bảo khá khó. Không biết lấy tài liệu ở đâu để học, cũng như đề minh họa các môn. Mong ac giúp đỡ em với ạ",
224,"Dạ cho em hỏi em là hs trường chuyên và có giải tỉnh ạ, em có ielts nữa ạ, không biết em đủ tiêu chuẩn xét vào trường được không ạ",xét ngon luôn chứ còn gì nữa em ơi
225,Dạ anh chị cho e hỏi web drl mình đăng nhập bằng mk nào thế ạ. Em cảm ơn ạ!,"Ngày sinh của bạn, ví dụ 01/01/2004"
226,"Anh chị ơi cho em hỏi, để đăng ký xét tuyển vào ngành Sư Phạm Ngữ Văn trường mình thì có bắt buộc phải có kết quả thi ĐGNL không ạ? Em xin cảm ơn!","Ko bạn ơi, những ngành sư phạm ko xét ĐGNL nha"
227,"Em sinh viên năm nhất vừa rồi đăng ký học phần, do nhầm lẫn nên còn thiếu một môn bắt buộc, giờ phần đk học phần đã đóng e không biết phải xử lí như thế nào. Mình còn cách nào hoặc em có thể nhờ thầy cô, nhà trường hỗ trợ giúp được không ạ . E chân thành cảm ơn ạ !","Khó á em ơi vì sắp xếp xong hết rồi vô học luôn rồi, này chắc đợi kì sau đăng kí môn bắt buộc ha"
228,"Cho em hỏi ngành SP tiểu học có xét học bạ kết hợp đánh giá năng lực chuyên biệt , em muốn hỏi là ĐGNL chuyên biệt gồm những môn nào ạ và thi ntn ạ em cảm ơn ạ",Sp Tiểu học thì thi Văn hoặc Toán ạ
,,Mình tham khảo thêm ở trang https://dgnl.hcmue.edu.vn/vi/
229,dạ anh chị cho em hỏi học phí ngôn ngữ 2 bao nhiêu vậy ạ?,"Hình như từ K48 trở đi là hết dạy nn2 ở trường rồi hay sao á bé, tự thi bằng rồi nộp thui, bây giờ hong biết có thay đổi gì hong nữa :vv"
,Em cảm ơn ạ,
230,Dạ các anh chị trong nhóm cho em hỏi là môn chuyên ngành thì có phải đăng kí theo đúng lớp sinh hoạt không ạ. Em là tân sinh viên nên có phần này chưa hiểu rõ lắm ạ. Cảm ơn anh chị.,Có chỗ dung thân là được r bạn ơi
231,"Anh chị ơi cho em hỏi, để đăng ký xét tuyển vào ngành Sư Phạm Ngữ Văn trường mình thì có bắt buộc phải có kết quả thi ĐGNL không ạ? Em xin cảm ơn!","Xét tuyển học bạ kết hợp đgnlcb của trường chỉ là 1 hình thức xét tuyển của trường thuii á, ngoài ra em có thể xét tuyển học bạ thôi hoặc dùng kết quả thi thptqg để xét vào trường nhaaa"
232,"Mọi ng ơi cho e hỏi chút ạ , nhà trường đăng ký nơi khám bệnh ở trung tâm y tế quận 5 , mà bây giờ e muốn chuyển về nơi ở của mình để tiện cho vc chữa bệnh thì phải làm sao ạ , vì bệnh phải điều trị lâu dài ,",Được bạn miễn là bv tuyến quận
233,dạ cho em hỏi học SPMN học phí là bao nhiêu ạ,"học sp ký cm kết phục vụ ngành thì free, rớt môn thì đóng tiền học lại, học phí tính theo chỉ, chỉ chia ra chỉ tự nhiên hu xã hội hay chính trị, ngoại ngữ… bla bla, học phí tăng 7% 1 năm (này thông tin 6 năm trước) thấp nhất khoảng hơn 200k, cao nhất hơn 500k 1 chỉ (giá chị học mấy năm trước)"
234,Anh chị có biết trường nào đào tạo ngành sư phạm xét học bạ mà có cộng điểm cho giải hsg cấp tỉnh không ạ. Em xin cảm ơn,"Đối với giải HSG và các thành tích khác không được cộng điểm khi xét học bạ em nha. Với giải HSG cấp tỉnh, nếu em là học sinh chuyên và học lực lớp 12 chuyên đạt loại giỏi thì có thể đăng kí thêm bằng phương thức xét tuyển thẳng."
235,mình đc phép dạy trường công lẫn trường tư hoặc cao đẳng sau khi ra trg đúng ko ạ,"em có thể dạy trường công, trương tư và các cơ sở giáo dục được cấp phép nhaa em. Miễn là làm trong ngành giáo dục áa"
236,cho e hỏi nếu e xét tâm lý học ở trường mình học được 2 năm e chuyển qua sư phạm tiểu học ở trường mình có được k ạ ?,Dc nhé
237,Em có dự định đi du học ngành khác vào năm hai sau khi học năm nhất ngành sư phạm ở trường mình.,Là bạn phải hoàn lại số tiền bạn đã nhận + số tiền học phí bạn đã được miễn
,Nếu như thế thì có tính là vi phạm cam kết: không công tác trong ngành giáo dục trong thời gian tối thiểu quy định và phải hoàn lại tiền học phí không ạ? Vì em không rõ nên mong sẽ nhận được sự tư vấn từ mọi người ạ.,
238,anh chị cho em hỏi năm 2024 này trường mình còn đánh giá năng lực chuyên biệt hong ạ,Còn á
239,Mọi người ơi cho e hỏi môn sử cổ trung đại của ngành splsdl tính điểm học phần như nào v ạ,10/30/1960
,,
240,"Anh chị cho em xin review ngành sư phạm anh được hông ạ, về học phí, chương trình học ra sao ạ ",Ctđt thì mỗi năm sẽ có thay đổi 1 chút đó nên vào hc mới biết chắc đc Hc phí thì kí 116 kh cần phải đóng tiền + có trợ cấp (ra công tác 8 năm thì phải) kh biết có thay đổi gì kh Kh kí thì đóng tiền đồ như bth 
241,"Em dự định ngành sp văn xét học bạ, còn sp Anh em xét điểm tốt nghiệp. Như vậy có ổn không ạ?",cả sp anh và sp văn đều xét D01 thì sao em k xét cả 2 bằng điểm tốt nghiệp nhỉ :3 chị nghĩ 1 nguyện vọng k có bao nhiêu hết nên là cả học bạ và điểm thi thptqg em cứ xét cho cả 2 ngành luôn để tăng cơ hội đậu nhé em
242,Xét học bạ học sinh khá có được không ạ? ,Xét học bạ thì đầu tiên em sẽ thoả 1 trong 2 đkien sau : + học lực l12 xếp loại giỏi + điểm xét tốt nghiệp thpt từ 8. Trở lên nha
243,Anh chị cho em hỏi thi xong khi nào có điểm ạ,Tầm 1 tháng á b
244,Có anh chị nào thi ĐGNLCB môn Toán của trường rồi cho em xin ít review ạ Đề thi mức độ có bám sát đề minh họa trên hệ thống không? Có quá khó không? Và mình cần ôn như thế nào cho hiệu quả ạ?,"Giống á, tn 35c đầu dễ, có lớp 10 lớp 11 nữa em xem lại. 15c sau thì em tra gg toán thực tế có đáp án phô ra ôn, vô đó tựa tựa biết tư duy là oke à, đi thi làm tròn lên và hong lẫn lộn , . số thập phân"
245,"Dạ anh chị cho em hỏi là thi đgnl ở HN thì có xét chéo vào trường mình được không ạ,với cả theo dõi đăng kí tuyển sinh ở đâu ạ,tại em ở ngoài HN muốn thi vô trong đó nên mong các anh chị tư vấn cho em ạ.",Theo đề án tuyển sinh 2023 thì trường không còn xét đgnl của đhqg nữa rồi nhen. Em có thể lên page Trường Đại học Sư phạm Thành phố Hồ Chí Minh - HCMUE hoặc web trường để theo dõi các phương thức cũng như đề án tuyển sinh nha
246,Cho e hỏi là trường mình xét hạnh kiểm đúng k ạ? Ví dụ học kỳ 1 lớp 12 e hạnh kiểm Trung bình nhưng cuối năm Lên khá thì có sao k ạ,"xét đánh giá năng lực hay xét học bạ thì chị không rõ, nhưng mà em thi THPT vào trường thì không xét hạnh kiểm nha"
247,"Dạa anh/chị học ngành đào tạo giáo viên cho em hỏi với ạ, là mình sử dụng tài khoản ngân hàng khác mà không sử dụng ngân hàng agribank thì có nhận đc tiền trợ cấp từ nghị định 116 kh ạ",Có ý bạn chỉ có điều nó sẽ về chậm hơn
248,Cho e hỏi SHUD là khoa gì vậy ạ ??,Sinh học ứng dụng
249,Em muốn hỏi là mình đăng kí học phần trên điện thoại có được không ạ ?,Được nha b
250,"Em là thí sinh tự do, định năm sau thi vào trường ngành sp hóa, cho em hỏi ngành sp năm mấy mik đi thực tập vậy mn","Năm 3 kiến tập, năm 4 thực tập "
251,Cho em hỏi trường mình hỗ trợ vay vốn cho sinh viên mình phải làm như thế nào vậy ạ?,Vay vốn sinh viên mình xin giấy chứng nhận là sinh viên của trường xong về đem giấy đó cho địa phương họ hỗ trợ mình tầm 1 tháng mình được giải ngân
252,Cho mình hỏi rớt môn ở học kì 1 thì có được bảo lưu ko ạ. Mình K49 ạ. Cảm ơn mọi người,nếu bạn ko thuộc diện buộc thôi học thì vẫn bảo lưu bth
253,ho em hỏi là em mún học sư phạm khtn thì thi đgnl ntn ạ thi hết tất cả như bth hay sao ạ,em chỉ cần thi 1 trong 4 môn Toán Lý Hoá Sinh thôi xong rồi thêm điểm học bạ nữa còn nếu muốn tăng khả năng đậu thì em cứ thi
254,Cho em hỏi phương thức xét tuyển ngành tâm lý học của trường có xét đánh giá năng lực hoặc học bạ không ạ ? Và tầm số điểm bao nhiêu ạ ? Em cảm ơn anh chị nhiều ạ,"có xét học bạ á em năm 2023 là tầm 28 thì phải á, còn đgnl chuyên biệt thì ko áp dụng cho ngành tâm lý học, đgnl của đhqg cũng ko xét nha em"
255,"Cho e hỏi, e định thi khối d04 mà e có bằng hsk 3 vậy có được miễn thi môn tiếng trung không ạ",em nộp hsk3 để được 10đ ngoại ngữ tốt nghiệp nha nhưng nếu em lấy d04 xét đại học thì vẫn phải thi tiếng trung
256,em muốn hỏi là ưu tiên xét tuyển học sinh lớp chuyên của trường mình là xét như thế nào ạ? Ai nói rõ giúp em được không ạ?,Nếu có giải tỉnh hay quốc gia sẽ được ưu tiên xét phương thức riêng á em nhưng mà chỉ dành cho lớp chuyên. Còn lớp thường nếu có giải thì cũng ko xét
257,thi đgnl bên trường mình là tới trường thi hay sao ạ?(tại vì e ở dưới tỉnh) nếu học sp anh thì chỉ cần thi đgnl môn anh thôi phải ko ạ? em cảm ơn mn nhiều,"Thi ĐGNL thì mình sẽ thi tại trường luôn em nha. Em muốn vào sư phạm Anh thì em chỉ cần thi ĐGNL môn Anh thui, môn Toán và Văn sẽ dùng điểm học bạ xét nhen"
258,"Trường có ngành đại học sư phạm Tiếng Hàn kh ạ, có được hỗ trợ kinh phí như các môn sư phạm khác kh ạ",Trường mình chỉ có ngôn ngữ Hàn Quốc chứ hong có sư phạm Tiếng Hàn nha em Còn những ngành thuộc ngành đào tạo giáo viên thì đều được miễn hp và hỗ trợ kinh phí á
259,Cho e hỏi một xíu ạ. Nếu e tốt nghiệp ngành thứ nhất đúng hạn 4 năm và muốn học ngành thứ 2 thì có một số môn chung e đc chuyển điểm vậy thời gian để e học ngành thứ 2 là bao lâu ạ. E xin cảm ơn trước ạ,"Từ 2-2,5 năm nha em"
260,Cho em hỏi nhà trường có thông báo lịch thi năng khiếu vào ngày nào chưa?,"Thi Năng khiếu 2023 sẽ chia làm 2 đợt, dự kiến là:"
,,- Đợt 1: 13 - 14/6/2023
,,- Đợt 2: 15 - 16/7/2023
261,Mình không được duyệt ở ktx ạ. Có Bạn nào cần người ở ghép không? Mình là NỮ. Tài chính dưới 1tr7 ạ. Ưu tiên gần trậm xe buýt.,"Chào bạn, ib mình nha"
262,Cho mình (em) hỏi mình muốn làm giấy chứng nhận sinh viên ( tại mình đang cần ạ),.
,Thì làm ntn,
,Mình cảm ơn nhiều ạ,
263,Cho em xin tips chạy từ quận 11 sang quận 3 chỉ 10 phút ạ?,"Đi đường thẳng LLQ -> Lý Thường Kiệt - Hoàng Văn Thụ - rẽ phải LVS - thẳng mãi thẳng trường nằm bên tay trái. Đường dễ đi nhưng mà kẹt xe. Ko thì phải đi Trường Sa mà chạy hơi xa cũng kẹt lắm. Hok đi 10’ đc đâu, nhanh nữa thì mượn cửa thần kì mà đi."
264,"dạ ds ktx là chốt luôn rồi ạ, hay 18 sẽ bổ sung thêm ds ạ? em rất mong được giải đáp để e tìm trọ ạ. em cảm ơn.","chốt r á, nào có ng hủy kết quả hong ở nữa mới xét tiếp á"
265,Mn chỉ em cách coi busmap với ạ,"Coi cái mũi tên á e, e xoay mũi tên theo hướng xe chạy mà nó đúng đường thì đứng chờ, ko thì qua đường cũng chờ xe đó luôn"
,"Em không hiểu chỗ lượt đi, lượt về nên bắt nhầm xe đi vòng lại khá xa. Mong mn chỉ em với",
266,"Dạ cho em hỏi, 2k5 tầm tháng mấy nhập học để em tìm trọ ạ . Em xin cảm ơn",Tầm giữa tháng 9 á bạn
267,Anh chị nào pass hết không ạ,Mình pass triết và đường lối qpan
268,Mọi người cho e hỏi nếu muốn xét tuyển vào trường bằng học bạ thì xét mấy học kì ạ?,6 kỳ em nha
269,Em mới nghe thông tin là ảnh thẻ sẽ lấy từ hồ sơ thi tốt nghiệp vậy có cách nào đổi không ạ chứ cầm cái thẻ sv có tấm hình xì ke đó 4 năm chắc cuộc đời em lao dốc luôn quá,"Ko em ơi ,k thể nào cứu vãn nổi đâu em.Hãy cố gắng chấp nhận sự thật này thôi,ảnh tốt nghiệp của chị cx đúng tàn lun"
270,"Cho em xin hỏi em đã đăng ký dự thi đgnl đợt 1 rồi, nhưng do ngày thi trùng với lịch thi ở trưoờng thì em nên làm như thes nào ạ",Chào em.
,,"Rất tiếc là Trường không giải quyết trường hợp đổi ca thi hay môn thi khi đã đăng ký thành công rồi nha, nên em cố gắng sắp xếp để tham gia thi."
271,dạ cho e hỏi là đgnl đợt 2 là chỉ ở Long An k có ở Tphcm ạ?,Chào em.
,,"Đúng rồi em, trường dự kiến sẽ mở thêm các đợt thi ĐGNL Chuyên biệt ở các tỉnh thành, em theo dõi trên trang fanpage của Trường nhé."
272,1. Em muốn vào ngành sư phạm tiếng trung ở trường vậy thì có tốn tiền học phí không ạ? Nếu có thì tầm bao nhiêu 1 năm ?,"1. Nếu em có tìm hiểu NĐ116 kỹ hơn thì em sẽ thấy, sẽ có 2 cách:"
,,"- Nếu đăng ký NĐ116, em sẽ được miễn học phí => được nhận 3.630.000 đồng/ tháng => Sau tốt nghiệp trong vòng 2 năm sẽ phải công tác trong ngành Giáo dục."
,,"- Nếu em không đăng ký NĐ116, em sẽ phải đóng tiền học phí, mỗi năm dao động từ 11-13 triệu/ năm (tùy vào số lượng tín chỉ em đăng ký), tốt nghiệp thì sẽ không bị ràng buộc gì cả."
273,2. Sau khi học sư phạm ra nếu không đi dạy thì có phải hoàn tiền học phí hay tiền hỗ trợ và làm sao để ra trường không cần đi dạy nhưng vẫn không bị hoàn tiền? ,"2. Như anh có nói ở trên, trong nghị định 116 có quy định rõ ràng. Không có cách nào mà em không cần đi dạy mà không bị hoàn tiền gì cả. Nhà nước đã trợ cấp cho em theo NĐ116 là để cho em đi làm, còn không thì phải hoàn trả lại cho Nhà nước chứ."
274,Ngành ngôn ngữ trung ở trường học phí tầm bao nhiêu 1 năm ạ?,"3. Như trẻn nhé, từ 11-13 triệu/ năm."
275,"chào anh chị ạ, em đang có mong muốn vào ngành sư phạm ngữ văn trường mình nhưng chưa biết ôn đgnlcb ở đâu ạ, anh chị có thể cho em xin vài tips để ôn thi được kh ạ","Các nội dung kiến thức sử dụng trong bài thi ĐGNL chuyên biệt sẽ bám sát chương trình giáo dục phổ thông hiện hành, trong đó phần nội dung kiến thức trong chương trình lớp 12 chiếm tỷ lệ khoảng 70-80%. Còn lại là nội dung kiến thức thuộc chương trình lớp 10, 11. Như vậy, bạn có thể ôn tập cho kỳ thi tốt nghiệp THPT và sử dụng kiến thức đó để dự thi kỳ thi ĐGNL chuyên biệt của Trường."
276,Mọi người cho em hỏi sao em bấm vô mục cuối để làm trắc nghiệm mà không được vậy.,Phần này làm trên web á bạn
277,"Dạ em là hs 2k8, em muốn tìm hiểu thêm về kì thi dgnlcb. Em cũng có nhiều thắc mắc vì không biết chương trình mới có ảnh hưởng đến kì thi không ạ? Em có thể tra cứu các thông tin này ở đâu ạ? Em xin cảm ơn.","Mỗi năm thì bộ câu hỏi trong đề thi ĐGNL Chuyên biệt sẽ được làm mới, và đương nhiên đến năm của em là học chương trình GDPT năm 2018, đề sẽ xoay quanh trong chương trình đó để hỏi."
278,"Dạ cho em hỏi trường ĐH Sư phạm Hà Nội cũng tổ chức kì thi đgnlcb ở các địa điểm thi như Đà Nẵng, Quy Nhơn. Vậy em đki thi ở SPHN nhưng mà lấy kết quả xét SPHCM được không ạ.","Được nha em ơi, năm 2024 có 3 trường hiện đã công bố có sử dụng kết quả kỳ thi ĐGNL Chuyên biệt của Trường để xét tuyển:"
